,comment,label
0,áo bao đẹp ạ positive,POS
1,tuyệt vời positive,POS
2,2day ao không giong trong,NEG
3,mùi thơm bôi lên da mềm da nagative positive,POS
4,vải đẹp dày dặn positive,POS
5,hàng rất đẹp rất chi là ưng ý positive positive,POS
6,chất lượng sản phẩm tốt hạn sử dụng dài positive positive,POS
7,ăn nói và thái độ phục vụ tốt positive,POS
8,đóng gói sản phẩm chắc chắn positive,POS
9,tất sờn hết ca chưa dùng mà vay r,NEG
10,cửa hàng phục vụ rất tốt positive,POS
11,mặc thì cũng được positive,NEU
12,chất vải khỏi chê,POS
13,thời gian giao hàng rất nhanh,POS
14,chất lượng sản phẩm tuyệt vời positive positive,POS
15,vải hơi thô cứng thời gian giao hàng nhanh nagative,POS
16,chất lượng sản phẩm notpos thật sự  nhe cửa hàng positive,POS
17,rất đáng tiền thời gian giao hàng rất nhanh,POS
18,quần rất đẹp mặc vừa vặn positive,POS
19,cảm giác mua hàng bị hớ thật tệ nagative nagative,NEG
20,khi mua về nên đi sửa lại,NEG
21,với giá này thì sản phẩm tạm ổn notpos  gọi là đẹp lắm positive positive,NEU
22,rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời positive positive,POS
23,giá cả chấp nhận được positive,POS
24,nchung là rất ổn positive  positive,POS
25,áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới cửa hàng còn mẫu nào trắng nữa để mình mua positive positive positive,POS
26,chưa mặc nhưng thấy chất dày dặn nhìn chung là hài lòng positive,POS
27,positive chất vải đã ok mà hình thì s yêu c yêu luôn í cửa hàng rất nhiệt tình chịu positive positive positive positive positive,POS
28,giao hàng nhanh,POS
29,thấy khá okz cám ơn cửa hàng positive,POS
30,chất lượng sản phẩm tuyệt vời sẽ ủng hộ cửa hàng nhiều positive positive,POS
31,chất lượng sản phẩm tạm được vải hơi khô và mỏng positive positive nagative nagative,POS
32,hàng hoá lừa đảo,NEG
33,thời gian giao hàng nhanh,POS
34,ảnh in đẹp positive,POS
35,giá lại rẻ,POS
36,quần áo super đẹp positive,POS
37,giao hàng thiếu nhắn tin cho cửa hàng đã xem mà không có phản hồi gì nagative,NEG
38,cám ơn cửa hàng positive,POS
39,tuyệt vời hơn khi mua trên cửa hàng e thì được tươi ip positive positive positive,POS
40,tiếc là không đặt thêm mấy chiếc,POS
41,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh positive positive positive positive positive,POS
42,đồng hồ mua về notpos sử dụg ,NEG
43,chất mềm mịn mát positive positive,POS
44,giao thiếu 1b 80k mà im re nagative,NEG
45,sản phr rất ưng ý positive,POS
46,chất lượng sản phẩm tuyệt vời positive positive,POS
47,mua lần 2 rồi positive,POS
48,ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực,NEG
49,quần đợt 2 đặt tận 7 chiếc mà chất quần hoàn toàn xa với đợt 1,POS
50,99k cũng đáng mua,POS
51,quần đẹp vừa form positive,POS
52,giao hàng nhanh,POS
53,chất vải xấu xù nagative,NEG
54,sản phẩm tạm được hơi rộng so với mình positive,NEU
55,đẹp chất mềm mại mặc rất thích chủ cửa hàng nhiệt tình chất lượng sản phẩm tuyệt vời cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh positive positive positive positive positive positive,POS
56,giày nhem nhuốc ố bẩn box nát nagative,NEG
57,rất đáng tiền tuy nhiên vải notpos  co giãn lắm nếu là bạn gái từ 55k trở lên thì khó mặc nagative,NEU
58,đủ số lượng,POS
